iter	Logloss
207	0.2891276366
208	0.2886720083
209	0.2880061182
210	0.2872711845
211	0.286856117
212	0.2863069262
213	0.285750499
214	0.2851433602
215	0.2847468411
216	0.2840365529
217	0.2836719514
218	0.2829399682
219	0.2823596925
220	0.2819846099
221	0.2813518294
222	0.2807067395
223	0.2803226375
224	0.2798900632
225	0.2792165269
226	0.2786460295
227	0.2781307157
228	0.2775861597
229	0.277272851
230	0.2766431313
231	0.2759819378
232	0.2754825137
233	0.2751336491
234	0.2746546953
235	0.2739964991
236	0.2736211281
237	0.2733097343
238	0.2727086442
239	0.2723011037
240	0.2718390136
241	0.2712129409
242	0.2705897045
243	0.2700021557
244	0.2694609925
245	0.2690270438
246	0.2684689904
247	0.2679509769
248	0.2675117621
249	0.2672296754
250	0.26682456
251	0.2665433951
252	0.2660553715
253	0.2656821512
254	0.2651544848
255	0.2648070187
256	0.2644707124
257	0.2641184809
258	0.2638118646
259	0.2634989919
260	0.2628970954
261	0.2624567472
262	0.2620504846
263	0.2616354132
264	0.2612510135
265	0.2609956799
266	0.2604512597
267	0.2599696622
268	0.2595608585
269	0.2590940686
270	0.2588322302
271	0.2580113456
272	0.2573663494
273	0.257071026
274	0.2565570977
275	0.2563074732
276	0.2559904802
277	0.2555951044
278	0.2553880793
279	0.2550812237
280	0.2547120021
281	0.2542654341
282	0.2539713184
283	0.2536733162
284	0.2534291926
285	0.2530386622
286	0.2524568885
287	0.2520146199
288	0.2515322584
289	0.2511393971
290	0.2507799269
291	0.2505060722
292	0.2500555611
293	0.2495411505
294	0.249122261
295	0.248722205
296	0.24837105
297	0.2480582056
298	0.2476366309
299	0.2471299909
300	0.2468195933
301	0.2463826005
302	0.2460473216
303	0.2457791931
304	0.2456099088
305	0.245359443
306	0.2450135038
307	0.2445271461
308	0.2442587927
309	0.2440352117
310	0.243672849
311	0.243346865
312	0.2430784133
313	0.2427363265
314	0.2423573056
315	0.242082862
316	0.2415307251
317	0.2412739534
318	0.2409793198
319	0.2405188938
320	0.2401463999
321	0.2399281101
322	0.2393979822
323	0.2390538559
324	0.2388776102
325	0.2385072041
326	0.2381315118
327	0.2378744342
328	0.2375154964
329	0.2371296515
330	0.2369074525
331	0.2365305956
332	0.2361587769
333	0.2358366912
334	0.2356459306
335	0.235330407
336	0.2350124362
337	0.2346284318
338	0.2340231743
339	0.2339056586
340	0.2336817001
341	0.2331852364
342	0.2327987986
343	0.2323085175
344	0.2321194076
345	0.2317555386
346	0.2315166726
347	0.2311874504
348	0.2308463908
349	0.2304504085
350	0.2300508051
351	0.2296449764
352	0.2294224804
353	0.2290231866
354	0.2286816367
355	0.2282418504
356	0.2279075381
357	0.2275279549
358	0.227217612
359	0.2269072998
360	0.2266292406
361	0.2262706094
362	0.2260781057
363	0.2256686029
364	0.2253878465
365	0.2251965504
366	0.2249418564
367	0.2246441332
368	0.2243704809
369	0.2238881646
370	0.2236810848
371	0.2234991529
372	0.2231398096
373	0.2225359197
374	0.2220832008
375	0.2217164524
376	0.2214382593
377	0.2210422101
378	0.2205319811
379	0.2203244502
380	0.219810938
381	0.2194970083
382	0.2189590895
383	0.21866402
384	0.2184235494
385	0.2180014395
386	0.2177931346
387	0.2174978078
388	0.2173115062
389	0.2170400364
390	0.2166985244
391	0.2163306047
392	0.2160576474
393	0.2159509882
394	0.2157794904
395	0.2156243556
396	0.215272804
397	0.2149423764
398	0.2147025987
399	0.2145239594
400	0.2142162582
401	0.2139212259
402	0.2137219619
403	0.2134432501
404	0.2132446338
405	0.2130398516
406	0.2128158139
407	0.2124891324
408	0.2121108479
409	0.211898597
410	0.2117301531
411	0.2116678384
412	0.2114370901
413	0.2112424465
414	0.2108323593
415	0.2104864317
416	0.2102756851
417	0.2100499557
418	0.2098181123
419	0.2095120925
420	0.2093505941
421	0.2091320694
422	0.2088607462
423	0.2083830556
424	0.2080685513
425	0.2077473342
426	0.2073930547
427	0.2069111444
428	0.2067393302
429	0.2063779253
430	0.2059546257
431	0.2056718175
432	0.2053554559
433	0.205123184
434	0.204881849
435	0.2045950952
436	0.204323741
437	0.2040593493
438	0.2037574247
439	0.203633149
440	0.2035040852
441	0.2031577066
442	0.2029184678
443	0.2027130646
444	0.2025278746
445	0.2022805538
446	0.2020064043
447	0.2018611206
448	0.2016655416
449	0.2013837004
450	0.2011373927
451	0.2009443712
452	0.2008640622
453	0.2006944425
454	0.2004467412
455	0.2000378876
456	0.1997420646
457	0.1994047545
458	0.1992209813
459	0.1990124311
460	0.1986767626
461	0.1983127599
462	0.1980729725
463	0.1979292837
464	0.1977577586
465	0.19752368
466	0.1973315853
467	0.1970870189
468	0.1967425866
469	0.1965662501
470	0.1962616171
471	0.196024165
472	0.1958665051
473	0.1956096548
474	0.1952991616
475	0.1950841888
476	0.194904252
477	0.1947026671
478	0.1944836006
479	0.1941015628
480	0.1937529461
481	0.1935020811
482	0.1933257661
483	0.1929739184
484	0.1928083134
485	0.1924600596
486	0.1923413132
487	0.1920629672
488	0.1918617491
489	0.1916582739
490	0.1914053313
491	0.1912315838
492	0.190897127
493	0.1907162009
494	0.1904568159
495	0.1902463085
496	0.1899353423
497	0.1896786719
498	0.1895480246
499	0.1894210959
500	0.1891269053
501	0.1888402228
502	0.1885671808
503	0.1884133014
504	0.1883219519
505	0.1880148671
506	0.1877492227
507	0.1875570626
508	0.1873256043
509	0.1871120101
510	0.1869495414
511	0.1867066854
512	0.186467549
513	0.1862327938
514	0.1860589799
515	0.1856989055
516	0.1855870421
517	0.1853499305
518	0.1851877558
519	0.1849170343
520	0.1848448066
521	0.1846008561
522	0.1844244257
523	0.1841459016
524	0.1838148684
525	0.1834228293
526	0.1832063659
527	0.1829625608
528	0.1825972656
529	0.1823860754
530	0.1821964368
531	0.1819576647
532	0.1817219153
533	0.1815464946
534	0.1812796656
535	0.1810586947
536	0.1808283232
537	0.1806486547
538	0.1804126664
539	0.1800814865
540	0.1798976008
541	0.1797292839
542	0.1794389209
543	0.179383503
544	0.1792345549
545	0.1788902123
546	0.178714649
547	0.1784899245
548	0.1782648651
549	0.1779321017
550	0.177682964
551	0.177546474
552	0.1773865564
553	0.1770513463
554	0.1768232812
555	0.1767352763
556	0.1764827513
557	0.1761907953
558	0.1759985717
559	0.1758637296
560	0.1756788784
561	0.1754702394
562	0.1753010492
563	0.175103111
564	0.1749116209
565	0.1746822115
566	0.1745322216
567	0.1743551942
568	0.1741634283
569	0.1739880562
570	0.1735849736
571	0.1734106917
572	0.1733086752
573	0.1730557548
574	0.1727409366
575	0.1724878602
576	0.1722775245
577	0.1720902324
578	0.1720018615
579	0.1717166444
580	0.1715631551
581	0.1714798183
582	0.1712434976
583	0.1710278818
584	0.170724405
585	0.1704924866
586	0.17030817
587	0.1700894716
588	0.1699170131
589	0.1696974022
590	0.1694122986
591	0.1692014818
592	0.1689977012
593	0.1688410808
594	0.168619102
595	0.1684520577
596	0.1682117814
597	0.1680037359
598	0.1677638356
599	0.1675189936
600	0.167357136
601	0.1670743313
602	0.1668561652
603	0.1666754066
604	0.1664689841
605	0.1662374725
606	0.1660640049
607	0.1658867307
608	0.1656346318
609	0.1653041487
610	0.1652892877
611	0.1651743716
612	0.1649491902
613	0.1646243544
614	0.1645740808
615	0.1643931942
616	0.1641660522
617	0.1639279818
618	0.1637407696
619	0.1636007606
620	0.1633968086
621	0.1631922524
622	0.1628903723
623	0.1627522909
624	0.1624281669
625	0.1622242332
626	0.1620589489
627	0.1618328717
628	0.1615406397
629	0.1613191673
630	0.1612452236
631	0.160974157
632	0.1607165967
633	0.1604576582
634	0.1604163262
635	0.1602220796
636	0.1601776049
637	0.1599262872
638	0.1597031888
639	0.1595112407
640	0.1594142559
641	0.1591874442
642	0.1589177766
643	0.1587811615
644	0.1585002597
645	0.1582604979
646	0.1580192072
647	0.1576959394
648	0.1574558871
649	0.1572497685
650	0.1570549999
651	0.1568326836
652	0.1566994509
653	0.1565351151
654	0.1563905693
655	0.1562791614
656	0.1560308412
657	0.155859787
658	0.1555706793
659	0.1553239117
660	0.1551026976
661	0.1548803743
662	0.1547244339
663	0.1546005887
664	0.1543877988
665	0.1542208748
666	0.1541333083
667	0.1539335934
668	0.1538449916
669	0.1536455149
670	0.1533990965
671	0.1532704202
672	0.1530783879
673	0.1528872201
674	0.1526997131
675	0.1525243092
676	0.1522751247
677	0.152052339
678	0.1519266182
679	0.1517079941
680	0.1515056182
681	0.1513864732
682	0.1513038182
683	0.1511768394
684	0.1510240387
685	0.1508843059
686	0.1507824855
687	0.1505214744
688	0.1503161206
689	0.1501422225
690	0.149980638
691	0.1498442932
692	0.1496774513
693	0.1494338671
694	0.1492725289
695	0.1490623662
696	0.1488064638
697	0.1485760291
698	0.1483277597
699	0.1481523545
700	0.1480254374
701	0.1479501544
702	0.1476898831
703	0.1475235914
704	0.1473800181
705	0.1471940833
706	0.1470085086
707	0.1467753297
708	0.146601518
709	0.1465312705
710	0.1463686909
711	0.1461868917
712	0.1460658779
713	0.1458104033
714	0.1455813675
715	0.1455024479
716	0.1453938609
717	0.145270699
718	0.1450174356
719	0.144860955
720	0.1447790105
721	0.1447258068
722	0.1443614275
723	0.1441454111
724	0.1439746754
725	0.1438115909
726	0.1437299913
727	0.1436232024
728	0.1434877354
729	0.1432852177
730	0.143112737
731	0.142967205
732	0.1428614699
733	0.1426122138
734	0.1423620476
735	0.1421221268
736	0.1419583601
737	0.141791324
738	0.1417009239
739	0.1415237085
740	0.1413479195
741	0.1410914684
742	0.1409068632
743	0.1407770113
744	0.1405640915
745	0.1402522405
746	0.1400839135
747	0.1398230311
748	0.1395515882
749	0.1393266994
750	0.1390389839
751	0.1389115495
752	0.1387680248
753	0.1386020976
754	0.1384818411
755	0.13826236
756	0.1380697779
757	0.1379075813
758	0.137830616
759	0.1377698081
760	0.1375124683
761	0.1373122527
762	0.1370856759
763	0.1369093484
764	0.1368091685
765	0.136671678
766	0.1365793006
767	0.1365233474
768	0.1363501339
769	0.1361927893
770	0.1360832477
771	0.1359066032
772	0.135643238
773	0.1354329993
774	0.1352202636
775	0.1351474484
776	0.1350860567
777	0.1349363136
778	0.134783653
779	0.1346273087
780	0.1343552306
781	0.134138002
782	0.1340271752
783	0.1339013188
784	0.1338129697
785	0.1336222486
786	0.1334712761
787	0.1333112119
788	0.1331715247
789	0.1329871767
790	0.132807964
791	0.1326771661
792	0.1325354471
793	0.132485397
794	0.1324243609
795	0.1323007582
796	0.132137701
797	0.1320451238
798	0.1317624947
799	0.1315246518
800	0.1314242496
801	0.1312580961
802	0.131145675
803	0.1309618024
804	0.1307159774
805	0.1305360938
806	0.1304203
807	0.1302035328
808	0.1300104001
809	0.1298153369
810	0.1297938812
811	0.12963689
812	0.1295717931
813	0.1293974601
814	0.1292180673
815	0.1290926663
816	0.1290554585
817	0.1290374174
818	0.1288812733
819	0.1286524019
820	0.1284252791
821	0.1282492236
822	0.1281117606
823	0.1279697581
824	0.1279236371
825	0.1276261297
826	0.1274068866
827	0.1272668043
828	0.1272209761
829	0.1271026204
830	0.1268355673
831	0.1265891677
832	0.1265393755
833	0.1264462743
834	0.1261746956
835	0.1260427928
836	0.1258339113
837	0.1255451987
838	0.1253703193
839	0.1251901016
840	0.1251027213
841	0.1248919424
842	0.1247281087
843	0.1246190161
844	0.1244958555
845	0.1244069992
846	0.1241679885
847	0.124072448
848	0.1239271046
849	0.1237716994
850	0.1236199866
851	0.1235294764
852	0.1235036614
853	0.1233799273
854	0.1232028244
855	0.12310025
856	0.1229166344
857	0.122870376
858	0.1226963111
859	0.1224580477
860	0.1223347216
861	0.1222240776
862	0.1221383649
863	0.121909977
864	0.1217703508
865	0.1216488761
866	0.1214518896
867	0.1212856041
868	0.1211665012
869	0.1210370078
870	0.1209395194
871	0.1208532642
872	0.1207690378
873	0.1206060879
874	0.1205574925
875	0.120497407
876	0.1203789522
877	0.120239043
878	0.1200676192
879	0.1197966787
880	0.1196299794
881	0.1195293364
882	0.1193673429
883	0.1192015515
884	0.1191546375
885	0.1191066036
886	0.1188158077
887	0.1187013167
888	0.1185920138
889	0.118477934
890	0.1183403099
891	0.1182008565
892	0.1179881835
893	0.117763739
894	0.117588026
895	0.1174182658
896	0.1173104452
897	0.1171553674
898	0.1169578585
899	0.116734914
900	0.1165738322
901	0.1164959729
902	0.1164222957
903	0.1163231155
904	0.1161927311
905	0.1160351566
906	0.11589998
907	0.1157149141
908	0.1156809233
909	0.1155398139
910	0.1154021523
911	0.1152509786
912	0.1150825263
913	0.1149372207
914	0.1148643927
915	0.1147871981
916	0.1146500259
917	0.1145473292
918	0.1143175823
919	0.114175367
920	0.1141004511
921	0.1139983595
922	0.1137995532
923	0.1136581426
924	0.1135147212
925	0.113414132
926	0.1131680619
927	0.1130513074
928	0.1128577357
929	0.1127639786
930	0.1125683379
931	0.1123614359
932	0.1122298221
933	0.1121055577
934	0.111953781
935	0.1118482137
936	0.1117809888
937	0.1115893814
938	0.1114911306
939	0.1113316365
940	0.1112172594
941	0.1111525689
942	0.1110536035
943	0.110924524
944	0.1108689203
945	0.1107580539
946	0.110643447
947	0.1104709579
948	0.11032485
949	0.110208565
950	0.1100561921
951	0.1100198297
952	0.1098322308
953	0.1097132508
954	0.1096127743
955	0.1095587235
956	0.1094368201
957	0.1092942537
958	0.1091269123
959	0.1089563225
960	0.1087704989
961	0.1086733545
962	0.1086102444
963	0.1085243262
964	0.1084443515
965	0.1082797433
966	0.1081386294
967	0.1080572594
968	0.1079509077
969	0.1077903692
970	0.1075856968
971	0.1075561007
972	0.1074260422
973	0.1073120661
974	0.1072134122
975	0.1070693102
976	0.1069825674
977	0.1069672986
978	0.1068411448
979	0.1066609634
980	0.1065223446
981	0.1063947586
982	0.1063288727
983	0.1061953249
984	0.1059193056
985	0.1058770419
986	0.1057011263
987	0.1055227092
988	0.1054411261
989	0.1053714193
990	0.1053041904
991	0.1052281278
992	0.1050689407
993	0.104942201
994	0.1048407194
995	0.1047441274
996	0.1046275555
997	0.1046144646
998	0.1045205508
999	0.1044265991
